disease,disease_id,gene_set,region_id,region,z_score,gene_set_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank,spatially_robust,n_spatial_permutations,donor_median_rank_percentile,donor_rank_iqr,donors_observed
Amyotrophic lateral sclerosis,als,broad,148,Thal PuA R,-0.17308404638545172,0.9105651934806519,0.6335366463353664,0.9826443826205614,0.36646335366463356,87,False,10000,0.7189903846153847,0.24975961538461544,2
Amyotrophic lateral sclerosis,als,broad,153,ACC pre L,-2.097405677666207,0.990277614574309,0.9917008299170083,0.9983001699830018,0.008299170082991747,137,False,10000,0.03076923076923077,0.008316532258064516,3
Amyotrophic lateral sclerosis,als,broad,154,ACC pre R,0.30793235294212623,0.8544530162368379,0.41585841415858416,0.8867205587133594,0.5841415858414158,63,False,10000,0.6325721153846153,0.10180288461538456,2
Amyotrophic lateral sclerosis,als,broad,155,ACC sup L,-1.43781897782532,0.9664221547770036,0.9442055794420557,0.9826443826205614,0.05579442055794426,130,False,10000,0.07106854838709678,0.049305986352357306,6
Amyotrophic lateral sclerosis,als,broad,156,ACC sup R,-1.2626975085242176,0.9505126410435879,0.9335066493350664,0.9826443826205614,0.06649335066493356,128,False,10000,0.24867788461538462,0.07944711538461541,2
Amyotrophic lateral sclerosis,als,broad,157,N Acc L,-0.5005107182536995,0.916376219520905,0.7583241675832417,0.9826443826205614,0.24167583241675827,103,False,10000,0.46153846153846156,0.20769230769230768,5
Amyotrophic lateral sclerosis,als,broad,158,N Acc R,0.9187216972348498,0.8544530162368379,0.1698830116988301,0.8793051729309828,0.8301169883011699,26,False,10000,0.4051081730769231,0.24104567307692315,2
Amyotrophic lateral sclerosis,als,broad,161,SN pc L,-0.2411630990527812,0.9105651934806519,0.781021897810219,0.9826443826205614,0.21897810218978098,108,False,10000,0.7265625,0.2265625,2
Amyotrophic lateral sclerosis,als,broad,163,SN pr L,0.5241878474913859,0.8544530162368379,0.14008599140085992,0.8793051729309828,0.8599140085991401,20,False,10000,0.9230769230769231,0.17890818858560797,5
Amyotrophic lateral sclerosis,als,broad,164,SN pr R,0.4790820233576786,0.8544530162368379,0.1212878712128787,0.8793051729309828,0.8787121287871213,16,False,10000,0.5722355769230769,0.18161057692307692,2
Amyotrophic lateral sclerosis,als,broad,165,Red N L,-0.36040030569360965,0.9105651934806519,0.8018198180181981,0.9826443826205614,0.19818018198180187,109,False,10000,0.8307692307692308,0.18825120192307698,4
Amyotrophic lateral sclerosis,als,broad,166,Red N R,0.28546081513512545,0.8544530162368379,0.29787021297870214,0.8867205587133594,0.7021297870212979,44,False,10000,0.9106370192307692,0.027824519230769118,2
Amyotrophic lateral sclerosis,als,broad,167,LC L,0.5203967251636781,0.8544530162368379,0.134986501349865,0.8793051729309828,0.865013498650135,18,False,10000,0.8327524038461538,0.16935774658808933,4
Amyotrophic lateral sclerosis,als,broad,168,LC R,0.07842519356081913,0.8901055099969455,0.4884511548845116,0.9355091517875239,0.5115488451154884,72,False,10000,0.53984375,0.36015625000000007,2
Amyotrophic lateral sclerosis,als,broad,169,Raphe D,-0.6531974761093479,0.916376219520905,0.9684031596840316,0.9826443826205614,0.03159684031596843,136,False,10000,0.5305889423076924,0.05402644230769227,2
Amyotrophic lateral sclerosis,als,broad,170,Raphe M,0.7059443988709603,0.8544530162368379,0.08559144085591441,0.8793051729309828,0.9144085591440856,9,False,10000,0.8307692307692308,0.08323317307692302,3
Amyotrophic lateral sclerosis,als,stringent,1,Precentral L,1.9769696543445636,0.3987801219878012,0.10548945105489452,0.835583108355831,0.8945105489451055,16,False,10000,0.6307692307692307,0.11439205955334997,6
Amyotrophic lateral sclerosis,als,stringent,2,Precentral R,1.6585603745300876,0.4303444655534447,0.0750924907509249,0.835583108355831,0.924907509249075,11,False,10000,0.6632211538461539,0.055528846153846234,2
Amyotrophic lateral sclerosis,als,stringent,3,Frontal Sup 2 L,1.7635841082576802,0.4198722984844372,0.08139186081391861,0.835583108355831,0.9186081391860814,13,False,10000,0.5195913461538462,0.2918676333746898,6
Amyotrophic lateral sclerosis,als,stringent,4,Frontal Sup 2 R,2.577950709250453,0.3725627437256275,0.0136986301369863,0.5326267373262673,0.9863013698630136,3,False,10000,0.6741586538461539,0.03353365384615381,2
Amyotrophic lateral sclerosis,als,stringent,5,Frontal Mid 2 L,2.3014094767931805,0.3967103289671033,0.0352964703529647,0.7392117931064035,0.9647035296470353,6,False,10000,0.6499999999999999,0.24285631203473945,6
Amyotrophic lateral sclerosis,als,stringent,6,Frontal Mid 2 R,0.7426502830795595,0.628941105889411,0.31566843315668436,0.8735019355207335,0.6843315668433156,47,False,10000,0.39248798076923075,0.1309495192307692,2
