disease,disease_id,donor_1,donor_2,score_method,pearson_r,n_common_regions
Attention deficit-hyperactivity disorder,adhd,14380,15496,broad,0.43528032251024484,57
Attention deficit-hyperactivity disorder,adhd,14380,15496,stringent,0.44497957313322295,57
Attention deficit-hyperactivity disorder,adhd,14380,15496,weighted,0.441717752840803,57
Attention deficit-hyperactivity disorder,adhd,14380,15697,broad,0.3509530963656538,57
Attention deficit-hyperactivity disorder,adhd,14380,15697,stringent,0.3940341395005217,57
Attention deficit-hyperactivity disorder,adhd,14380,15697,weighted,0.4449885917297462,57
Attention deficit-hyperactivity disorder,adhd,14380,9861,broad,0.11099660891921286,59
Attention deficit-hyperactivity disorder,adhd,14380,9861,stringent,0.46025250512283034,59
Attention deficit-hyperactivity disorder,adhd,14380,9861,weighted,0.3877961641186778,59
Attention deficit-hyperactivity disorder,adhd,15496,15697,broad,0.2665666659902169,56
Attention deficit-hyperactivity disorder,adhd,15496,15697,stringent,0.44618786635237007,56
Attention deficit-hyperactivity disorder,adhd,15496,15697,weighted,0.3981461082146647,56
Attention deficit-hyperactivity disorder,adhd,15496,9861,broad,0.3932888248274585,55
Attention deficit-hyperactivity disorder,adhd,15496,9861,stringent,0.3671009455106929,55
Attention deficit-hyperactivity disorder,adhd,15496,9861,weighted,0.3732525248476053,55
Attention deficit-hyperactivity disorder,adhd,15697,9861,broad,0.19526948898083243,59
Attention deficit-hyperactivity disorder,adhd,15697,9861,stringent,0.48058369791880273,59
Attention deficit-hyperactivity disorder,adhd,15697,9861,weighted,0.39870607976683675,59
Epilepsy,epilepsy,10021,12876,broad,0.42009601157213333,56
Epilepsy,epilepsy,10021,12876,stringent,0.7312471645709766,56
Epilepsy,epilepsy,10021,12876,weighted,0.7517430211017138,56
Epilepsy,epilepsy,10021,14380,broad,0.5834401001285628,59
Epilepsy,epilepsy,10021,14380,stringent,0.6945114244291184,59
Epilepsy,epilepsy,10021,14380,weighted,0.706719130328836,59
Epilepsy,epilepsy,10021,15496,broad,0.5422707587165284,56
Epilepsy,epilepsy,10021,15496,stringent,0.7170120116809683,56
Epilepsy,epilepsy,10021,15496,weighted,0.7004174150258353,56
Epilepsy,epilepsy,10021,15697,broad,0.5397290763005936,57
Epilepsy,epilepsy,10021,15697,stringent,0.8240427221747947,57
