gene_set_version,region_id,region_name,stage6_z,stage6_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank
stringent,66,Parietal Inf R,-0.7220945928335292,0.9998000199980002,0.7417258274172582,0.9641493477770867,0.25827417258274177,102
stringent,67,SupraMarginal L,0.9906486419746822,0.777966203379662,0.1922807719228077,0.8334366563343665,0.8077192280771923,27
stringent,68,SupraMarginal R,-0.9864522434287804,0.9998000199980002,0.8064193580641936,0.9641493477770867,0.19358064193580637,113
stringent,69,Angular L,0.5421231071705314,0.7928899417750532,0.33456654334566543,0.8334366563343665,0.6654334566543345,52
stringent,70,Angular R,-0.6842858584362679,0.9998000199980002,0.7589241075892411,0.9641493477770867,0.24107589241075889,104
stringent,71,Precuneus L,-2.093101044216657,0.9998000199980002,0.9294070592940706,0.9952254774522548,0.07059294070592936,127
stringent,72,Precuneus R,-0.0071599250438238,0.9254274572542748,0.49945005499450057,0.9187710442438903,0.5005499450054994,75
stringent,73,Paracentral Lobule L,-1.169749868420381,0.9998000199980002,0.8665133486651335,0.9801544435720362,0.13348665133486648,122
stringent,74,Paracentral Lobule R,-0.8739656086237219,0.9998000199980002,0.7608239176082392,0.9641493477770867,0.2391760823917608,106
stringent,75,Caudate L,-3.133173507679533,0.9998000199980002,0.9941005899410059,0.9989001099890011,0.005899410058994081,137
stringent,76,Caudate R,-3.473151502038172,0.9998000199980002,0.9989001099890011,0.9989001099890011,0.0010998900109988607,138
stringent,77,Putamen L,-2.629952677366653,0.9998000199980002,0.9808019198080192,0.9952254774522548,0.01919808019198077,136
stringent,78,Putamen R,-1.3885978962107104,0.9998000199980002,0.8646135386461354,0.9801544435720362,0.13538646135386456,121
stringent,79,Pallidum L,-1.1856148755677114,0.9998000199980002,0.8237176282371763,0.9641493477770867,0.1762823717628237,117
stringent,80,Pallidum R,-0.8646262601587057,0.9998000199980002,0.7088291170882912,0.9641493477770867,0.2911708829117088,96
stringent,83,Heschl L,0.4008056581269472,0.8158990552557647,0.34556544345565443,0.8334366563343665,0.6544345565443456,57
stringent,84,Heschl R,0.2668045895168714,0.8228441861696183,0.39506049395060494,0.8334366563343665,0.6049395060493951,64
stringent,85,Temporal Sup L,0.8307711741157169,0.777966203379662,0.26277372262773724,0.8334366563343665,0.7372262773722628,39
stringent,86,Temporal Sup R,0.579890290464512,0.777966203379662,0.29127087291270876,0.8334366563343665,0.7087291270872913,43
stringent,87,Temporal Pole Sup L,0.0921499371319097,0.9017689780317744,0.47265273472652736,0.9059177415591775,0.5273472652734726,72
stringent,88,Temporal Pole Sup R,-0.0536701509871531,0.937824822168946,0.5171482851714828,0.9187710442438903,0.4828517148285172,77
stringent,89,Temporal Mid L,0.9849779112627844,0.777966203379662,0.21577842215778423,0.8334366563343665,0.7842215778422158,30
stringent,90,Temporal Mid R,0.8667536959635586,0.777966203379662,0.2725727427257274,0.8334366563343665,0.7274272572742726,40
stringent,91,Temporal Pole Mid L,0.6185378437761031,0.777966203379662,0.27887211278872115,0.8334366563343665,0.7211278872112789,41
stringent,93,Temporal Inf L,0.6195135073882827,0.777966203379662,0.29227077292270776,0.8334366563343665,0.7077292270772922,44
