region_id,region_name,method,raw_scale_score,gene_standardized_score,raw_scale_label,standardized_scale_label,raw_vs_gene_standardized_pearson_r,primary_or_sensitivity
8,Frontal Inf Oper R,stringent,0.47739130032476473,-0.24757080488522637,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
9,Frontal Inf Tri L,stringent,0.5189628396475071,0.05667604113281533,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
10,Frontal Inf Tri R,stringent,0.5045015055921557,-0.06692503831030534,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
11,Frontal Inf Orb 2 L,stringent,0.5310624687156228,0.14800138477993774,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
12,Frontal Inf Orb 2 R,stringent,0.5015060406500771,-0.0722891703075535,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
13,Rolandic Oper L,stringent,0.5079539802531288,-0.017308503559394294,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
14,Rolandic Oper R,stringent,0.5223310287442271,0.10189536433003521,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
15,Supp Motor Area L,stringent,0.48341689768649054,-0.2036648540354225,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
16,Supp Motor Area R,stringent,0.4941129022297777,-0.12086043950497605,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
17,Olfactory L,stringent,0.5063133604452564,-0.0035683490624732685,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
18,Olfactory R,stringent,0.483284869574119,-0.18387772895236593,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
19,Frontal Sup Medial L,stringent,0.5293170495402265,0.13270606165340126,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
20,Frontal Sup Medial R,stringent,0.5555028770567366,0.33813763339861297,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
21,Frontal Med Orb L,stringent,0.5405938406077917,0.2092266784341892,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
22,Frontal Med Orb R,stringent,0.5242620137846249,0.08862876351849336,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
23,Rectus L,stringent,0.5409130307266145,0.2295805695149858,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
24,Rectus R,stringent,0.5504113076320261,0.3012273031252703,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
25,OFCmed L,stringent,0.5220570993835694,0.06317032701833142,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
26,OFCmed R,stringent,0.528413716579961,0.12476874320883544,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
27,OFCant L,stringent,0.538561252691276,0.21808951698928472,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
28,OFCant R,stringent,0.5608844020404673,0.3813545539509926,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
29,OFCpost L,stringent,0.5065275731576991,-0.05614791452816692,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
30,OFCpost R,stringent,0.5273826329473204,0.15246606678269267,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
31,OFClat L,stringent,0.49030261401320147,-0.1401716299665883,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
