region_id,region_name,atlas_label,hemisphere,structure,broad_system,anatomical_hierarchy,centroid_mni_x,centroid_mni_y,centroid_mni_z,total_assigned_samples,donors_with_samples,retained_in_main_matrix,coverage_status
157,N Acc L,N_Acc_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-7.865030674846622,12.50306748466258,-7.570552147239269,13,5,True,retained
158,N Acc R,N_Acc_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,9.902097902097907,12.48951048951048,-7.3706293706293735,2,2,True,retained
159,VTA L,VTA_L,L,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,-3.0,-20.0,-17.0,0,0,False,no_assigned_samples
160,VTA R,VTA_R,R,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,4.666666666666671,-20.0,-16.888888888888886,0,0,False,no_assigned_samples
161,SN pc L,SN_pc_L,L,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,-7.875,-19.1875,-14.8125,5,2,True,retained
162,SN pc R,SN_pc_R,R,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,9.151515151515156,-18.060606060606062,-14.363636363636367,2,1,False,insufficient_coverage
163,SN pr L,SN_pr_L,L,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,-9.622641509433961,-15.05660377358491,-13.698113207547166,18,5,True,retained
164,SN pr R,SN_pr_R,R,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,10.933333333333337,-14.766666666666666,-14.0,5,2,True,retained
165,Red N L,Red_N_L,L,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,-4.350877192982452,-19.89473684210526,-10.561403508771932,12,4,True,retained
166,Red N R,Red_N_R,R,subcortex/brainstem,brainstem,brain/subcortex/brainstem/brainstem,5.931034482758619,-19.48275862068965,-10.655172413793103,3,2,True,retained
