gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
IKZF1,ENSG00000185811,0.371824711561203,0.371824711561203,0.371824711561203,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DKKL1,ENSG00000104901,0.3706107437610626,0.3706107437610626,0.3706107437610626,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TRMT112,ENSG00000173113,0.3686096966266632,0.3686096966266632,0.3686096966266632,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
EGR2,ENSG00000122877,0.367420494556427,0.367420494556427,0.367420494556427,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CCR4,ENSG00000183813,0.36675408482551575,0.36675408482551575,0.36675408482551575,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SPMIP7,ENSG00000164500,0.36262479424476624,0.36262479424476624,0.36262479424476624,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PRDX5,ENSG00000126432,0.3588967025279999,0.3588967025279999,0.3588967025279999,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MMEL1,ENSG00000142606,0.3474060297012329,0.3474060297012329,0.3474060297012329,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CD80,ENSG00000121594,0.34234967827796936,0.34234967827796936,0.34234967827796936,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CD37,ENSG00000104894,0.3311871290206909,0.3311871290206909,0.3311871290206909,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FAM76B,ENSG00000077458,0.3303609788417816,0.3303609788417816,0.3303609788417816,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZPBP2,ENSG00000186075,0.3269200026988983,0.3269200026988983,0.3269200026988983,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
KPNB1,ENSG00000108424,0.32138362526893616,0.32138362526893616,0.32138362526893616,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CXCR5,ENSG00000160683,0.29918068647384644,0.29918068647384644,0.29918068647384644,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
THEMIS,ENSG00000172673,0.28631556034088135,0.28631556034088135,0.28631556034088135,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RPS6KB1,ENSG00000108443,0.2812406122684479,0.2812406122684479,0.2812406122684479,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL20RA,ENSG00000016402,0.2749604284763336,0.2749604284763336,0.2749604284763336,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ADCY3,ENSG00000138031,0.2719348073005676,0.2719348073005676,0.2719348073005676,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PTPRK,ENSG00000152894,0.26724565029144287,0.26724565029144287,0.26724565029144287,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
KCNRG,ENSG00000198553,0.26602235436439514,0.26602235436439514,0.26602235436439514,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SLC2A4RG,ENSG00000125520,0.2606261670589447,0.2606261670589447,0.2606261670589447,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TMEM87B,ENSG00000153214,0.255527526140213,0.255527526140213,0.255527526140213,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SOX8,ENSG00000005513,0.2543962895870209,0.2543962895870209,0.2543962895870209,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PRM1,ENSG00000175646,0.2513299882411957,0.2513299882411957,0.2513299882411957,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SLC6A16,ENSG00000063127,0.24685293436050415,0.24685293436050415,0.24685293436050415,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IRF8,ENSG00000140968,0.24214603006839752,0.24214603006839752,0.24214603006839752,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
GSDMB,ENSG00000073605,0.24029020965099335,0.24029020965099335,0.24029020965099335,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
C1orf52,ENSG00000162642,0.23536966741085052,0.23536966741085052,0.23536966741085052,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ENTHD1,ENSG00000176177,0.22698068618774414,0.22698068618774414,0.22698068618774414,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL22RA2,ENSG00000164485,0.2243068516254425,0.2243068516254425,0.2243068516254425,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
VEGFB,ENSG00000173511,0.22273850440979004,0.22273850440979004,0.22273850440979004,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
EMILIN3,ENSG00000183798,0.20895639061927795,0.20895639061927795,0.20895639061927795,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
EAF2,ENSG00000145088,0.19372741878032684,0.19372741878032684,0.19372741878032684,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PHACTR2,ENSG00000112419,0.19212189316749573,0.19212189316749573,0.19212189316749573,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
